kmeans_k,kmeans_r,birch,minibatch,spectral_k,spectral_d,agg_w,agg_cl,agg_al
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,4,2,15,14,15,3,0
18,13,0,2,15,14,6,3,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,4,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,1,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,1,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,4,2,15,14,15,1,0
18,13,0,2,15,14,15,1,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,1,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,6,3,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,1,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,1,0
18,13,0,2,15,14,15,1,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,4,2,15,14,15,3,7
18,13,0,2,15,14,15,3,0
18,13,4,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,1,0
18,13,0,2,15,14,15,1,0
18,13,4,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,1,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,1,0
18,13,0,2,15,14,15,3,0
3,2,0,9,15,14,6,3,0
18,13,4,2,15,14,15,1,0
18,13,4,2,15,14,15,1,0
18,13,0,2,15,14,15,1,0
18,13,0,2,15,14,15,1,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,1,0
18,13,0,2,15,14,6,3,0
18,13,0,2,15,14,15,1,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,1,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
18,13,0,2,15,14,15,3,0
