kmeans_k,kmeans_r,birch,minibatch,spectral_k,spectral_d,agg_w,agg_cl,agg_al
19,6,0,19,22,21,10,5,2
19,23,0,19,22,21,10,5,2
19,6,0,19,22,21,10,5,2
19,29,0,19,22,21,10,5,2
19,29,0,19,22,21,10,5,2
19,6,0,19,22,21,19,5,2
19,6,0,19,22,21,10,5,2
19,6,0,19,22,21,10,5,2
19,23,0,19,22,21,10,5,2
19,6,0,19,22,21,10,5,2
19,23,0,19,22,21,10,5,2
19,29,0,19,22,21,10,5,14
19,23,0,19,22,21,10,5,2
19,29,0,19,22,21,10,5,2
19,6,0,19,22,21,10,5,2
14,27,0,22,0,12,19,5,2
19,29,0,19,22,21,10,5,2
19,29,0,19,22,21,10,5,2
19,23,0,19,22,21,10,5,2
19,6,0,19,22,21,10,5,2
19,6,0,19,22,21,10,5,2
19,29,0,19,22,21,10,5,2
19,29,0,19,22,21,10,5,2
19,6,0,19,22,21,10,5,2
19,23,0,19,22,21,10,5,2
19,6,0,19,22,21,10,5,2
19,23,0,19,22,21,10,5,2
19,6,0,19,22,21,10,5,2
19,23,0,19,22,21,10,5,2
19,29,0,19,22,21,10,5,2
19,6,0,19,22,21,10,5,2
19,6,0,19,22,21,10,5,2
19,23,0,19,22,21,10,5,2
19,23,0,19,22,21,10,5,2
19,6,0,19,22,21,10,5,2
19,29,0,19,22,21,10,5,2
19,23,0,19,22,21,10,5,2
19,6,0,19,22,21,10,5,2
19,23,0,19,22,21,10,5,2
19,6,0,19,22,21,10,5,2
19,6,0,19,22,21,10,5,2
19,29,0,19,22,21,10,5,2
19,6,0,19,22,21,10,5,2
19,6,0,19,22,21,10,5,2
19,29,0,19,22,21,10,5,2
19,29,0,19,22,21,10,5,14
19,6,0,19,22,21,10,5,2
19,6,0,19,22,21,10,5,2
19,23,0,19,22,21,10,5,2
19,29,0,19,22,21,10,5,2
19,29,0,19,22,21,10,5,2
19,6,0,19,22,21,10,5,2
19,23,0,19,22,21,10,5,2
19,23,0,19,22,21,10,5,2
19,6,0,19,22,21,10,5,2
19,6,0,19,22,21,10,5,2
19,23,0,19,22,21,10,5,2
19,23,0,19,22,21,10,5,2
19,23,0,19,22,21,10,5,2
19,6,0,19,22,21,10,5,2
19,6,0,19,22,21,10,5,2
19,29,0,19,22,21,10,5,2
19,23,0,19,22,21,10,5,2
19,6,0,19,22,21,10,5,2
19,29,0,19,22,21,10,5,2
19,6,0,19,22,21,10,5,2
19,6,0,19,22,21,10,5,2
19,23,0,19,22,21,10,5,2
19,29,0,19,22,21,10,5,2
19,29,0,19,22,21,10,5,2
