kmeans_k,kmeans_r,birch,minibatch,spectral_k,spectral_d,agg_w,agg_cl,agg_al
12,14,0,11,14,4,5,1,2
12,14,0,11,0,11,5,1,2
12,14,0,11,0,11,5,1,2
12,14,0,11,14,4,5,1,2
12,14,0,11,14,4,5,1,2
12,14,0,11,14,4,5,1,2
12,14,0,11,0,11,5,1,2
12,14,0,11,14,4,5,1,2
12,14,0,11,0,11,5,1,2
12,14,0,11,14,4,5,1,2
12,14,0,11,14,4,5,1,2
12,14,0,11,14,4,5,1,2
12,14,0,11,14,4,5,1,2
12,14,0,11,14,4,5,1,2
12,14,0,11,0,11,5,1,2
12,14,0,11,14,4,5,1,2
12,14,0,11,0,11,5,1,2
12,14,0,11,0,11,5,1,2
12,14,0,11,14,4,5,1,2
12,14,0,11,0,11,5,1,2
12,14,0,11,14,4,5,1,2
12,14,0,11,14,4,5,1,2
12,14,0,11,14,4,5,1,2
12,14,2,11,0,11,0,1,2
12,14,0,11,1,11,5,1,2
12,14,0,11,14,4,5,1,2
12,14,0,11,14,4,5,1,2
12,14,0,11,0,11,5,1,2
12,14,0,11,14,4,5,1,2
12,14,0,11,0,11,5,1,2
12,14,0,11,14,4,5,1,2
12,14,0,11,0,11,5,1,2
12,14,0,11,0,11,5,1,2
12,14,0,11,14,4,5,1,2
12,14,0,11,1,11,5,1,2
12,14,0,11,14,4,5,1,2
12,14,0,11,14,4,5,1,2
12,14,0,11,14,4,5,1,2
12,14,0,11,0,11,5,1,2
12,14,0,11,0,11,0,1,2
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,0,10,5,6,4,1,2
1,12,0,10,1,6,4,11,10
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,0,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,0,10,5,6,4,1,2
1,12,0,10,1,6,4,11,10
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,0,10,1,0,4,11,10
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
1,12,2,10,5,6,4,1,2
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,11,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,11,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,11,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,9,8
10,11,0,13,10,0,14,11,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
10,11,0,13,10,0,14,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,12,1,10,3,1,6
10,11,0,13,10,0,14,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
14,0,0,4,4,8,3,1,6
2,13,0,12,2,10,6,1,6
2,13,0,12,2,1,6,1,6
2,13,0,12,2,1,6,1,6
2,13,0,12,2,1,6,1,6
2,13,0,12,2,1,6,1,6
2,13,0,12,2,10,6,1,6
2,13,0,12,2,10,6,1,6
2,13,0,12,2,10,6,1,6
2,13,0,12,2,1,6,1,6
2,13,0,12,2,1,6,1,6
2,13,0,12,2,1,6,1,6
2,13,0,12,2,10,6,1,6
2,13,0,12,2,10,6,1,6
2,13,0,12,2,10,6,1,6
2,13,1,12,2,1,6,1,6
2,13,0,12,2,1,6,1,6
2,13,1,12,2,1,6,1,6
2,13,0,12,2,1,6,1,6
2,13,0,12,2,1,6,1,6
2,13,0,12,2,10,6,1,6
2,13,0,12,2,10,6,1,6
2,13,0,12,2,10,6,1,6
2,13,0,12,2,1,6,1,6
2,13,1,12,2,1,10,14,12
2,13,0,12,2,10,6,1,6
2,13,0,12,2,10,6,1,6
2,13,0,12,2,10,6,1,6
2,13,1,12,2,1,6,1,6
2,13,0,12,2,10,6,1,6
2,13,0,12,2,10,6,1,6
2,13,0,12,2,10,6,1,6
2,13,0,12,2,10,6,1,6
2,13,0,12,2,1,6,1,6
2,13,0,12,2,10,6,1,6
2,13,0,12,2,10,6,1,6
2,13,0,12,2,10,6,1,6
2,13,0,12,2,1,6,1,6
2,13,0,12,2,10,6,1,6
2,13,0,12,2,1,6,1,6
2,13,1,12,2,1,6,1,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,12,10,14,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,12,10,1,6
11,9,1,9,12,5,10,1,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,12,10,14,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,12,10,14,6
11,9,1,9,11,12,10,14,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,12,10,14,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,12,10,14,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,12,10,14,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,1,10,1,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,12,10,14,6
11,9,1,9,11,12,10,1,6
11,9,1,9,11,12,10,14,6
11,9,1,9,11,12,10,1,6
8,8,1,14,12,5,12,1,6
8,8,1,14,9,3,12,1,6
8,8,1,14,12,5,12,1,6
8,8,1,14,9,3,12,1,6
8,8,1,14,9,3,12,1,6
11,9,1,9,11,5,10,1,6
8,8,1,14,9,3,12,1,6
8,8,1,14,9,3,12,1,6
8,8,1,14,12,5,12,1,6
8,8,1,14,9,3,12,1,6
8,8,1,14,9,3,12,1,6
8,8,1,14,9,3,12,1,6
8,8,1,14,12,5,12,1,6
8,8,1,14,12,5,12,1,6
8,8,1,14,9,3,12,1,6
8,8,1,14,9,3,12,1,6
8,8,1,14,9,3,12,1,6
8,8,1,14,12,5,12,1,6
8,8,1,14,12,5,12,1,6
8,8,1,14,9,3,12,1,6
8,8,1,14,12,5,12,1,6
8,8,1,14,9,3,12,1,6
8,8,1,14,12,5,12,1,6
8,8,1,14,12,5,12,1,6
8,8,1,14,9,3,12,1,6
8,8,1,14,12,5,12,1,6
8,8,1,14,9,3,12,1,6
8,8,1,14,12,5,12,1,6
8,8,1,14,9,3,12,1,6
8,8,1,14,9,3,12,1,6
8,8,1,14,12,5,12,1,6
8,8,1,14,12,5,12,1,6
8,8,1,14,9,3,12,1,6
8,8,2,14,1,3,12,1,6
8,8,1,14,9,3,12,1,6
8,8,1,14,12,5,12,1,6
8,8,1,14,9,3,12,1,6
