kmeans_k,kmeans_r,birch,minibatch,spectral_k,spectral_d,agg_w,agg_cl,agg_al
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,17,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,17,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,17,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,17,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,17,40,39,4,1,0
42,16,0,33,40,39,16,1,0
42,16,0,33,40,39,4,1,0
42,16,0,17,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,4,40,39,4,7,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,17,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,17,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,17,40,39,4,7,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,21,0
42,16,0,17,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,17,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,4,40,39,4,7,0
42,16,0,33,40,39,4,1,0
42,39,0,33,40,39,16,1,0
42,16,0,17,40,39,4,1,0
42,16,0,17,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,16,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,17,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,17,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,17,40,39,4,1,0
42,16,0,17,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,4,40,39,4,7,0
42,16,0,4,40,39,4,7,0
42,16,0,33,40,39,4,1,0
42,16,0,4,40,39,4,7,0
42,16,0,33,40,39,4,1,0
42,16,0,17,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,4,40,39,4,1,0
42,16,0,33,40,39,16,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,17,40,39,4,1,0
42,16,0,17,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,16,1,0
42,16,0,17,40,39,4,1,0
9,39,0,33,40,28,16,1,0
42,16,0,17,40,39,4,7,0
42,16,0,4,40,39,4,1,0
42,16,0,17,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,17,40,39,4,1,0
42,16,0,17,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,17,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,4,40,39,4,1,0
42,16,0,33,40,39,4,1,0
9,39,0,33,27,28,16,1,0
42,16,0,33,40,39,4,21,0
42,16,0,4,40,39,4,1,0
42,16,0,17,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,39,0,33,40,39,4,21,11
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,17,40,39,4,7,0
42,16,0,17,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
9,39,0,33,27,28,16,1,0
42,16,0,4,40,39,4,7,0
42,16,0,4,40,39,4,7,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,17,40,39,4,1,0
42,16,0,4,40,39,4,1,0
42,16,0,17,40,39,4,1,0
42,16,0,4,40,39,4,7,0
42,16,0,4,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,4,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,17,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,17,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
42,16,0,33,40,39,4,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,7,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,7,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,7,10
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,4,21,11
9,39,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,7,0
9,11,0,33,27,28,16,7,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,7,0
9,39,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,39,0,7,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,39,0,33,27,28,4,21,11
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,7,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,10
9,11,0,33,27,28,16,1,0
9,11,0,33,27,28,16,7,0
9,39,0,33,27,28,16,1,0
9,39,0,33,27,28,16,1,0
9,11,0,33,27,28,16,1,0
4,7,0,4,43,10,22,7,0
4,7,0,4,43,10,22,7,0
16,34,0,32,10,33,2,7,0
4,7,0,4,43,10,22,7,0
4,7,0,4,43,10,22,7,0
4,7,0,4,43,10,22,7,0
4,7,0,4,43,10,22,7,0
