kmeans_k,kmeans_r,birch,minibatch,spectral_k,spectral_d,agg_w,agg_cl,agg_al
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,12,14,0,7,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,12,14,0,7,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,12,14,0,10,1,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,12,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,12,14,0,10,1,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,7,3,14,0,10,1,0
2,6,0,12,14,0,7,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
12,11,7,11,9,11,11,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,7,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,12,0,0,7,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
13,10,0,12,0,8,7,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,12,14,0,10,1,0
2,6,0,3,14,0,10,1,0
2,6,0,12,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,12,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,1,0
2,6,0,12,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,12,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,7,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,12,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,12,0,8,7,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,13,9
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,7,3,14,0,10,1,0
2,6,0,12,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,12,14,0,10,1,0
2,6,0,3,14,0,10,0,0
12,11,0,11,9,11,11,0,0
5,12,7,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,12,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,7,3,14,0,10,1,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,1,0
2,6,0,12,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,12,14,0,10,1,0
2,6,0,12,14,0,10,0,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,1,0
2,6,0,3,14,0,10,0,0
2,6,0,3,14,0,10,0,0
